Entry	Reviewed	Entry Name	Length	Pfam	PDB
A0A553PHW2	unreviewed	A0A553PHW2_TIGCA	1220	PF12345;PF08016;	
A0A010QAJ9	unreviewed	A0A010QAJ9_FINMA	306	PF12345;PF04055;	
A0A011NL20	unreviewed	A0A011NL20_9PROT	332	PF12345;PF04055;	
A0A011NQV3	unreviewed	A0A011NQV3_ACCSB	336	PF12345;PF04055;	
A0A011NVY1	unreviewed	A0A011NVY1_9PROT	234	PF12345;	
A0A011NYR1	unreviewed	A0A011NYR1_9PROT	124	PF12345;	
A0A011PQ65	unreviewed	A0A011PQ65_9PROT	336	PF12345;PF04055;	
A0A023BPM2	unreviewed	A0A023BPM2_9FLAO	355	PF12345;PF04055;	
A0A024FHP1	unreviewed	A0A024FHP1_9FLAO	351	PF12345;PF04055;	
A0A061S2Q2	unreviewed	A0A061S2Q2_9CHLO	426	PF12345;PF04055;	
A0A068MVD0	unreviewed	A0A068MVD0_SYNY4	336	PF12345;PF04055;	
A0A068YII6	unreviewed	A0A068YII6_9BURK	337	PF12345;PF04055;	
A0A068YS26	unreviewed	A0A068YS26_9BURK	320	PF12345;	
A0A073CFI0	unreviewed	A0A073CFI0_PLAAG	328	PF12345;PF04055;	
A0A074L0X1	unreviewed	A0A074L0X1_9BACT	349	PF12345;PF04055;	
A0A076H076	unreviewed	A0A076H076_9SYNE	312	PF12345;PF04055;	
A0A076H908	unreviewed	A0A076H908_9SYNE	318	PF12345;PF04055;	
A0A076HHM5	unreviewed	A0A076HHM5_9SYNE	314	PF12345;PF04055;	
A0A076HYK8	unreviewed	A0A076HYK8_9BACT	349	PF12345;PF04055;	
A0A077JH97	unreviewed	A0A077JH97_9CYAN	323	PF12345;PF04055;	
A0A080LV78	unreviewed	A0A080LV78_9PROT	332	PF12345;PF04055;	
A0A080M2L3	unreviewed	A0A080M2L3_9PROT	332	PF12345;PF04055;	
A0A081FWB6	unreviewed	A0A081FWB6_9GAMM	321	PF12345;PF04055;	
A0A081GM66	unreviewed	A0A081GM66_9CYAN	324	PF12345;PF04055;	
A0A081SIU7	unreviewed	A0A081SIU7_9BACT	341	PF12345;PF04055;	
A0A084IPT0	unreviewed	A0A084IPT0_SALHC	323	PF12345;PF04055;	
A0A084JT34	unreviewed	A0A084JT34_NONUL	355	PF12345;PF04055;	
