Entry	Reviewed	Entry Name	Length	Pfam	PDB
P0A6Z6	reviewed	NIKR_ECOLI	133	PF08753;PF01402;	1Q5V;1Q5Y;2HZA;2HZV;3BKF;3BKT;3BKU;3OD2;
O25896	reviewed	NIKR_HELPY	148	PF08753;PF01402;	2CA9;2CAD;2CAJ;2WVB;2WVC;2WVD;2WVE;2WVF;3LGH;3PHT;3QSI;6MRJ;
P96621	reviewed	ENDAI_BACSU	93	PF01402;	4ME7;
P9WJ87	reviewed	MAZE6_MYCTU	82	PF01402;	
A0A067LGT7	unreviewed	A0A067LGT7_9MICO	251	PF01402;PF00075;	
A0A1B7K0B0	unreviewed	A0A1B7K0B0_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A1D3DJK8	unreviewed	A0A1D3DJK8_9ENTR	1322	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A225C4Q9	unreviewed	A0A225C4Q9_9MICO	250	PF01402;PF00075;	
A0A225CCV5	unreviewed	A0A225CCV5_CLAMM	252	PF01402;PF00075;	
A0A251XRM2	unreviewed	A0A251XRM2_9MICO	254	PF01402;PF00075;	
A0A251YBW4	unreviewed	A0A251YBW4_9MICO	252	PF01402;PF00075;	
A0A251YMG4	unreviewed	A0A251YMG4_9MICO	250	PF01402;PF00075;	
A0A256XZ79	unreviewed	A0A256XZ79_9EURY	429	PF12327;PF01402;PF00091;	
A0A264VUZ5	unreviewed	A0A264VUZ5_PRORE	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A2D5X0M3	unreviewed	A0A2D5X0M3_9EURY	534	PF10415;PF00206;PF01402;	
A0A2E0VS63	unreviewed	A0A2E0VS63_9BACT	405	PF16360;PF13167;PF01926;PF01402;	
A0A2R3M1Y3	unreviewed	A0A2R3M1Y3_PRORE	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A2S5V9L7	unreviewed	A0A2S5V9L7_9MICO	251	PF01402;PF00075;	
A0A2S5VST5	unreviewed	A0A2S5VST5_9MICO	254	PF01402;PF00075;	
A0A345LVI6	unreviewed	A0A345LVI6_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A379FCR9	unreviewed	A0A379FCR9_PROVU	1320	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A379FU43	unreviewed	A0A379FU43_PRORE	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A379G2G0	unreviewed	A0A379G2G0_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A399NY69	unreviewed	A0A399NY69_9MICO	251	PF01402;PF00075;	
A0A399TDA0	unreviewed	A0A399TDA0_9MICO	250	PF01402;PF00075;	
A0A3E2BH95	unreviewed	A0A3E2BH95_PRORE	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A3M1BJS2	unreviewed	A0A3M1BJS2_9BACT	405	PF16360;PF13167;PF01926;PF01402;	
A0A3R8W169	unreviewed	A0A3R8W169_PRORE	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A4V2V4E4	unreviewed	A0A4V2V4E4_9GAMM	1332	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A6G6PNR2	unreviewed	A0A6G6PNR2_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A6G6QAC5	unreviewed	A0A6G6QAC5_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A6G6SJE6	unreviewed	A0A6G6SJE6_PROVU	1320	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A6I7DAK5	unreviewed	A0A6I7DAK5_9GAMM	1322	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A6L6FGA0	unreviewed	A0A6L6FGA0_9GAMM	1332	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A6L6G396	unreviewed	A0A6L6G396_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A7D6P8I8	unreviewed	A0A7D6P8I8_PRORE	1326	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A7G7WKS8	unreviewed	A0A7G7WKS8_PROVU	1322	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A7J4NNB9	unreviewed	A0A7J4NNB9_9ARCH	534	PF10415;PF00206;PF01402;	
A0A7M3Z6S4	unreviewed	A0A7M3Z6S4_9ARCH	534	PF10415;PF00206;PF01402;	
A0A7X2R5X4	unreviewed	A0A7X2R5X4_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A809S0A9	unreviewed	A0A809S0A9_PRORE	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A0A829R0E8	unreviewed	A0A829R0E8_9GAMM	1327	PF00171;PF01619;PF14850;PF18327;PF01402;	
A5CPA8	unreviewed	A5CPA8_CLAM3	252	PF01402;PF00075;	
B0RID9	unreviewed	B0RID9_CLAMS	251	PF01402;PF00075;	
B5Z8Y5	reviewed	NIKR_HELPG	148	PF08753;PF01402;	2Y3Y;
B6XAZ9	unreviewed	B6XAZ9_9GAMM	1321	PF00171;PF01619;PF14850;PF18327;PF01402;	
D1NZS4	unreviewed	D1NZS4_9GAMM	1321	PF00171;PF01619;PF14850;PF18327;PF01402;	
D3UIX2	unreviewed	D3UIX2_HELM1	148	PF08753;PF01402;	
D4BV42	unreviewed	D4BV42_PRORE	1321	PF00171;PF01619;PF14850;PF18327;PF01402;	
M5B8Y1	unreviewed	M5B8Y1_9MICO	252	PF01402;PF00075;	
O07227	reviewed	VAPB2_MYCTU	73	PF01402;	3H87;
P0CL61	reviewed	MAZE9_MYCTU	76	PF01402;	6KYT;
P13920	reviewed	COPG_STRAG	45	PF01402;	1B01;1EA4;2CPG;
A0A011P423	unreviewed	A0A011P423_9PROT	167	PF08753;PF01402;	
A0A011P582	unreviewed	A0A011P582_9PROT	160	PF08753;PF01402;	
A0A011PGY3	unreviewed	A0A011PGY3_9PROT	160	PF08753;PF01402;	
A0A023XUB8	unreviewed	A0A023XUB8_BRAJP	170	PF08753;PF01402;	
A0A024BX50	unreviewed	A0A024BX50_HELPX	148	PF08753;PF01402;	
A0A024CBG0	unreviewed	A0A024CBG0_HELPX	148	PF08753;PF01402;	
A0A031HE52	unreviewed	A0A031HE52_9BURK	162	PF08753;PF01402;	
A0A031JCZ0	unreviewed	A0A031JCZ0_SPHPI	157	PF08753;PF01402;	
